ime,drzava,rang,t_alltime,sezone,t_enodnevne,t_GC,t_kronometer,t_sprint,t_gore,t_hribi,zmage,etapne,GC,enodnevne,kronometer,grand tour zac.,grand tour zmage,spomeniki zac.,spomeniki zmage
Eddy  Merckx,Belgium,1,3851.0,14,21379,13710,12924,18190,6054,1456,279,154,46,79,69,16,10,51,15
Sean  Kelly,Ireland,2,2157.3,19,13100,10608,7658,19046,5556,4731,159,111,24,24,26,21,1,55,9
Francesco  Moser,Italy,3,2125.5,17,17712,7930,8566,14520,1850,212,147,62,16,69,41,15,1,47,6
Bernard  Hinault,France,4,2014.6,13,6381,10499,11458,6812,3739,1443,146,87,29,30,50,13,10,19,4
Roger De Vlaeminck,Belgium,5,1998.3,16,19188,4118,3984,18977,1612,450,162,92,11,59,11,13,0,50,11
Alejandro  Valverde,Spain,6,1910.1,21,13381,13654,4916,3740,15228,7432,133,75,25,33,8,32,1,35,4
Jacques  Anquetil,France,7,1837.9,17,5436,9897,9378,5962,2518,638,121,48,24,49,63,16,8,24,1
Rik Van Looy,Belgium,8,1713.6,18,14335,3476,1180,15847,1246,1264,161,100,9,52,0,18,0,45,7
Laurent  Jalabert,France,9,1609.2,15,7874,8411,7217,10656,4218,3568,140,97,21,22,14,21,1,31,2
Gino  Bartali,Italy,10,1562.5,19,8840,7351,2147,9600,3750,904,92,45,10,37,2,22,5,31,7
Fausto  Coppi,Italy,11,1556.6,20,8528,4930,3217,6455,2570,498,90,39,7,44,21,17,7,29,9
Giuseppe  Saronni,Italy,12,1530.5,14,9113,5950,5539,10994,882,227,142,85,17,40,15,18,2,21,2
Freddy  Maertens,Belgium,13,1480.2,12,9142,3766,4426,11588,1244,980,148,104,13,31,27,6,1,25,0
Felice  Gimondi,Italy,14,1462.8,16,10338,9484,7131,8522,3558,533,74,27,10,37,23,20,5,39,4
Joop  Zoetemelk,Netherlands,15,1435.6,20,7435,13975,11920,6582,6003,1901,96,59,16,21,23,18,2,35,0
Erik  Zabel,Germany,16,1416.5,17,10621,1442,113,19419,1886,5063,150,118,1,31,0,25,0,46,4
Peter  Sagan,Slovakia,17,1387.8,15,9426,1797,1335,9960,2528,8516,121,91,4,26,4,18,0,36,2
Tony  Rominger,Switzerland,18,1356.9,14,3405,8816,11055,3772,3504,1130,93,57,17,19,38,18,4,22,2
